book,title,author,genre,num_pages
447,The Control of Nature,John McPhee,Nature,288.0
448,The Death of Artemio Cruz,Carlos Fuentes,Fiction,307.0
449,Coming Into the Country,John McPhee,Nature,448.0
450,The Magic Barrel,Bernard Malamud,Fiction,240.0
451,The Fixer,Bernard Malamud,Fiction,335.0
452,Gimpel the Fool,Isaac Bashevis Singer,Fiction,224.0
453,Sophie's World,Jostein Gaarder,Fiction,518.0
454,Black Hole,Charles Burns,Comics & Graphic Novels,368.0
455,The Heart of a Woman,Maya Angelou,Biography & Autobiography,288.0
456,Geisha,Liza Crihfield Dalby,Social Science,367.0
457,The Moviegoer,Walker Percy,Fiction,242.0
458,Awakenings,Oliver W. Sacks,Medical,464.0
459,Lives of Girls and Women,Alice Munro,Fiction,277.0
460,Anil's Ghost,Michael Ondaatje,Fiction,311.0
461,Theatre,William Somerset Maugham,Fiction,304.0
462,A Coffin for Dimitrios,Eric Ambler,Fiction,304.0
463,Journey Into Fear,Eric Ambler,Fiction,288.0
464,Lunar Park,Bret Easton Ellis,Fiction,404.0
465,World Light,Halldór Laxness,Fiction,624.0
466,The Basic Works of Aristotle,Aristotle,Philosophy,1487.0
467,Comfort Me With Apples,Ruth Reichl,Biography & Autobiography,302.0
468,The Survivor,John F. Harris,History,560.0
469,100 Great Fantasy Short Short Stories,Isaac Asimov;Terry Carr,Fiction,395.0
470,Tim,Colleen McCullough,Fiction,288.0
471,Made in America,Bill Bryson,Language Arts & Disciplines,364.0
472,The Mother Tongue,Bill Bryson,Language Arts & Disciplines,270.0
473,Shutter Island,Dennis Lehane,Fiction,369.0
474,Killing Time,Cynthia Harrod-Eagles,Fiction,280.0
475,Anne Frank,Johanna Hurwitz,Juvenile Nonfiction,64.0
476,Silver Nights,Jane Feather,Fiction,352.0
477,Firefly,Piers Anthony,Fiction,466.0
478,The Nightingale's Song,Kathleen Eschenburg,Fiction,384.0
479,In the Beginning...was the Command Line,Neal Stephenson,Computers,151.0
480,Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,Fiction,821.0
481,The Book of Ruth,Jane Hamilton,Fiction,328.0
482,Follow Your Heart,Susanna Tamaro,Fiction,208.0
483,The Outlandish Companion,Diana Gabaldon,Literary Criticism,577.0
484,"God Bless You, Mr. Rosewater",Kurt Vonnegut,Fiction,288.0
485,Welcome to the Monkey House,Kurt Vonnegut,Fiction,331.0
486,Bluebeard,Kurt Vonnegut,Fiction,318.0
487,King Rat,James Clavell,Fiction,368.0
488,Player Piano,Kurt Vonnegut,Fiction,341.0
489,Jailbird,Kurt Vonnegut,Fiction,310.0
490,Slapstick,Kurt Vonnegut,Fiction,288.0
491,Palm Sunday,Kurt Vonnegut,Biography & Autobiography,300.0
492,The Cloud Atlas,Liam Callanan,Fiction,368.0
493,Coming of Age in Mississippi,Anne Moody,Biography & Autobiography,424.0
494,Lucifer's Shadow,David Hewson,Fiction,369.0
495,The Street Lawyer,John Grisham,Fiction,384.0
496,The Summons,John Grisham,Fiction,384.0
497,The King of Torts,John Grisham,Fiction,276.0
498,The Chamber,John Grisham,Fiction,632.0
499,Texas! Trilogy,Sandra Brown,Fiction,600.0
500,Like Water for Chocolate,Laura Esquivel,Fiction,242.0
501,Marie Antoinette,Antonia Fraser,Biography & Autobiography,512.0
502,The Handmaid's Tale,Margaret Atwood,Dystopias,368.0
503,Waterfront,Phillip Lopate,Literary Collections,450.0
504,Oryx and Crake,Margaret Atwood,Fiction,389.0
505,The Age of Grief,Jane Smiley,Fiction,224.0
506,Man Walks Into a Room,Nicole Krauss,Fiction,248.0
507,In the Beginning,Alister E. McGrath,Religion,354.0
508,Bras & Broomsticks,Sarah Mlynowski,Juvenile Fiction,310.0
509,Cuba 15,Nancy Osa,Juvenile Fiction,304.0
510,Messenger,Lois Lowry,Juvenile Fiction,169.0
511,Code Orange,Caroline B. Cooney,Juvenile Fiction,200.0
512,The Annotated Huckleberry Finn,Mark Twain,Fiction,656.0
513,Redemption,Steven G. Kellman,Biography & Autobiography,384.0
514,Civilization and Its Discontents,Sigmund Freud,History,192.0
515,Middlemarch,George Eliot,Fiction,578.0
516,The Book of Embraces,Eduardo Galeano;Cedric Belfrage,Fiction,288.0
517,Filth,William A. Cohen,History,360.0
518,On Becoming a Novelist,John Gardner,Language Arts & Disciplines,150.0
519,The Feminine Mystique,Betty Friedan,Social Science,592.0
520,The Sisters: The Saga of the Mitford Family,Mary S. Lovell,Biography & Autobiography,611.0
521,Naked Economics: Undressing the Dismal Science,Charles Wheelan,Business & Economics,288.0
522,Spook: Science Tackles the Afterlife,Mary Roach,Language Arts & Disciplines,311.0
523,Paradise Lost,John Milton;Scott Elledge,Bible,688.0
524,The Scarlet Letter,Nathaniel Hawthorne;Margaret Brantley,Fiction,400.0
525,Frankenstein,Mary Wollstonecraft Shelley;J. Paul Hunter,Fiction,336.0
526,The Norton Anthology of Theory and Criticism,Vincent B. Leitch,Literary Criticism,2662.0
527,Sense and Sensibility,Jane Austen,Fiction,336.0
528,The Tempest,William Shakespeare,Drama,224.0
529,Passing,Nella Larsen;Carla Kaplan,Fiction,546.0
530,Race of Scorpions,Dorothy Dunnett,Fiction,534.0
531,Hawthorne's Short Stories,Nathaniel Hawthorne,Fiction,384.0
532,The Occult,Colin Wilson,"Body, Mind & Spirit",606.0
533,The Wall,John Hersey,Fiction,640.0
534,The Long Goodbye,Raymond Chandler,Fiction,379.0
535,The High Window,Raymond Chandler,Fiction,265.0
536,"Farewell, My Lovely",Raymond Chandler,Fiction,292.0
537,The Big Sleep,Raymond Chandler,Fiction,231.0
538,Oscar Wilde,Richard Ellmann,Biography & Autobiography,736.0
539,Snow,Roy McKié;Philip D. Eastman,Juvenile Nonfiction,72.0
540,The 500 Hats of Bartholomew Cubbins,Dr. Seuss,Juvenile Fiction,56.0
541,Roverandom,John Ronald Reuel Tolkien,Fiction,128.0
542,White Lies,Jayne Ann Krentz,Fiction,371.0
543,Book of the Dead,Patricia Daniels Cornwell,Fiction,511.0
544,A Clockwork Orange,Anthony Burgess,English drama,51.0
545,The Truth,Terry Pratchett,Drama,336.0
546,Jesus' Son,Denis Johnson,Short stories,192.0
547,Introduction to Phenomenology,Robert Sokolowski,Philosophy,248.0
548,The Road to Serfdom,Friedrich August Hayek,Business & Economics,272.0
549,The Regatta Mystery and Other Stories,Agatha Christie,Fiction,214.0
550,Patriot Games,Tom Clancy,"Ryan, Jack (Fictitious character)",503.0
551,Without Remorse,Tom Clancy,Fiction,750.0
552,A New Leash on Death,Susan Conant,Fiction,180.0
553,The Key to Midnight,Dean R. Koontz,Fiction,419.0
554,Debt of Honor,Tom Clancy,Fiction,990.0
555,Thin Air,Rachel Caine,Fiction,307.0
556,Rainbow Six,Tom Clancy,Fiction,912.0
557,Breaking Point,Tom Clancy;Steve R. Pieczenik;Steve Perry,Fiction,368.0
558,The Bear and the Dragon,Tom Clancy,Fiction,1137.0
559,Picture Perfect,Jodi Picoult,Fiction,369.0
560,Shadowland,Peter Straub,Fiction,468.0
561,Practical Magic,Alice Hoffman,Fiction,286.0
562,Lightning,Dean Ray Koontz,Fiction,384.0
563,The Mediterranean Caper,Clive Cussler,Fiction,391.0
564,Guilty Pleasures,Laurell K. Hamilton,Fiction,355.0
565,Pattern Recognition,William Gibson,Fiction,367.0
566,The Glass House,Ashley Gardner,Fiction,256.0
567,Murder on the Orient Express,Agatha Christie,Fiction,266.0
568,Hideaway,Dean Ray Koontz,Fiction,413.0
569,Black Wind,Clive Cussler;Dirk Cussler,Fiction,639.0
570,Captive Dreams,Angela Knight;Diane Whiteside,Fiction,336.0
571,Checkmate,David Michaels;Tom Clancy,Fiction,402.0
572,Cause of Death,Patricia Daniels Cornwell,Fiction,356.0
573,Over the Moon,Angela Knight;MaryJanice Davidson;Virginia Kantra;Sunny,Fiction,330.0
574,Labyrinth,Kate Mosse,Fiction,515.0
575,At Risk,Patricia Daniels Cornwell,Fiction,289.0
576,Cat's Cradle,Andrew Cartmel,Fiction,262.0
577,The Mouse and His Child,Russell Hoban;David Small,Juvenile Fiction,244.0
578,The Call of the Wild,Jack London,Juvenile Fiction,172.0
579,Holes,Louis Sachar,Blind,233.0
580,Alice in Wonderland,Lewis Carroll,Juvenile Fiction,160.0
581,The Rescue,Gordon Korman,Juvenile Fiction,140.0
582,The Deep,Gordon Korman,Juvenile Fiction,148.0
583,The Invisible Man,Herbert George Wells,Fiction,192.0
584,The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle;Eoin Colfer,Juvenile Fiction,336.0
585,How to Draw the Legend of Zelda,Michael Teitelbaum;Ron Zalme,Juvenile Nonfiction,32.0
586,Public Enemies,Gordon Korman,Juvenile Fiction,150.0
587,Underworld,Jude Watson,Juvenile Fiction,160.0
588,Inkheart,Cornelia Caroline Funke,Juvenile Fiction,563.0
589,Awakening,Robin Wasserman,Juvenile Fiction,207.0
590,Betrayal,Robin Wasserman,Juvenile Fiction,209.0
591,Northern Lights,Philip Pullman,Arctic regions,399.0
592,The New Centurions,Joseph Wambaugh,Fiction,368.0
593,Suffer the Children,John Saul,Fiction,378.0
594,Tai-Pan,James Clavell,Fiction,734.0
595,The Blue Knight,Joseph Wambaugh,Los Angeles (Calif.),320.0
596,The Cricket in Times Square,George Selden,Juvenile Fiction,134.0
597,The Cay,Theodore Taylor,Juvenile Fiction,156.0
598,The Smoke Jumper,Nicholas Evans,Fiction,576.0
599,Gone for Good,Harlan Coben,Fiction,432.0
600,Outlander,Diana Gabaldon,Fiction,850.0
601,Blessings,Belva Plain,Fiction,393.0
602,Anastasia on Her Own,Lois Lowry,Juvenile Fiction,160.0
603,Make Four Million Dollars by Next Thursday!,Stephen Manes,Juvenile Fiction,87.0
604,The Sly Spy,Marjorie Weinman Sharmat,Juvenile Fiction,74.0
605,Hoot,Carl Hiaasen,Bullying,292.0
606,Beowulf,Burton Raffel,Fiction,160.0
607,A Ring of Endless Light,Madeleine L'Engle,Death,332.0
608,Neuromancer,William Gibson,Fiction,384.0
609,Rocket Ship Galileo,Robert Anson Heinlein,Fiction,211.0
610,Camouflage,Joe W. Haldeman,Fiction,289.0
611,Dragon's Treasure,Elizabeth A. Lynn,Fiction,336.0
612,The Rosetta Codex,Richard Paul Russo,Fiction,384.0
613,Chapterhouse: Dune,Frank Herbert,Fiction,436.0
614,Madouc,Jack Vance,Fiction,426.0
615,Back Bay,William Martin,Fiction,532.0
616,The Book of the Dead,Douglas J. Preston;Lincoln Child,Fiction,454.0
617,Tell Me Your Dreams,Sidney Sheldon,Fiction,384.0
618,Up Country,Nelson DeMille,Fiction,880.0
619,Love Beyond Reason,Sandra Brown,Fiction,272.0
620,One L,Scott Turow,Law,288.0
621,When the Wind Blows,James Patterson,Fiction,416.0
622,Cane River,Lalita Tademy,Fiction,522.0
623,The Guardian,Nicholas Sparks,Fiction,400.0
624,True Believer,Nicholas Sparks,Fiction,465.0
625,The Black Dahlia,James Ellroy,Fiction,348.0
626,Anne of Avonlea,Lucy Maud Montgomery,Juvenile Fiction,315.0
627,Wartime Lies,Louis Begley,Fiction,240.0
628,Naked Came the Manatee,Carl Hiaasen;Dave Barry;Elmore Leonard,Fiction,208.0
629,Children of God,Mary Doria Russell,Fiction,451.0
630,Murder at Ford's Theatre,Margaret Truman,Fiction,376.0
631,The Changeling,Philippa Carr,Fiction,369.0
632,Journey,James A. Michener,Fiction,336.0
633,Asylum,John Saul,Fiction,97.0
634,The Tin Can Tree,Anne Tyler,Fiction,264.0
635,The Dead Zone,Stephen King,Fiction,402.0
636,Fools Die,Mario Puzo,Fiction,544.0
637,I Never Promised You a Rose Garden,Joanne Greenberg,Mental illness,288.0
638,It,Stephen King,Fiction,1090.0
639,Thinner,Stephen King;Richard Bachman,Allegories,320.0
640,The Stranger Beside Me,Ann Rule,True Crime,550.0
641,Trauma,Graham Masterton,Fiction,224.0
642,The Oath,Frank E. Peretti,Fiction,576.0
643,The Key to Rebecca,Ken Follett,Fiction,352.0
644,Black Like Me,John Howard Griffin,Biography & Autobiography,208.0
645,A Case of Need,Michael Crichton,Fiction,416.0
646,A Whole Lotta Love,Donna Hill;Brenda Jackson;Monica Jackson;Francis Ray,Fiction,384.0
647,Night Over Water,Ken Follett,FICTION,448.0
648,On Wings of Eagles,Ken Follett,History,416.0
649,The Innocent,Harlan Coben,Fiction,503.0
650,Black Sunday,Thomas Harris,Fiction,311.0
651,A Certain Justice,John T. Lescroart,Fiction,624.0
652,The Last Templar,Raymond Khoury,Fiction,523.0
653,Dealing in Futures,Joe Haldeman,Fiction,352.0
654,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson;Vladimir Vladimirovich Nabokov,Fiction,128.0
655,Arrowsmith,Sinclair Lewis,Fiction,428.0
656,The Odyssey,Homer;George Herbert Palmer,Poetry,239.0
657,Great Dialogues of Plato,Plato,Philosophy,528.0
658,The Origin of Species,Charles Darwin,Science,1024.0
659,The Travels of Marco Polo,Marco Polo;Milton Rugoff;Howard Mittelmark,Biography & Autobiography,297.0
660,Around the World in Eighty Days,Jules Verne,Fiction,236.0
661,David Copperfield,Charles Dickens,Fiction,928.0
662,A Portrait of the Artist as a Young Man,James Joyce,Fiction,256.0
663,Atlas Shrugged,Ayn Rand,Fiction,1176.0
664,Stephen King's Creepshow,Stephen King;Berni Wrightson;Michele Wrightson,Fiction,66.0
665,Song of Solomon,Toni Morrison,Fiction,337.0
666,Zombie,Joyce Carol Oates,Fiction,181.0
667,Something to Declare,Julia Alvarez,Literary Criticism,300.0
668,Anthem,Ayn Rand,Fiction,105.0
669,The Feeling Good Handbook,David D. Burns,Psychology,729.0
670,Beauty's Punishment,A. N. Roquelaure;Anne Rice,Fiction,233.0
671,The Bluest Eye,Toni Morrison,Fiction,216.0
672,We Were the Mulvaneys,Joyce Carol Oates,Fiction,454.0
673,1984,George Orwell,London (England),339.0
674,The Republic of Plato,Allan Bloom,Philosophy,487.0
675,The Philosophy of History,Georg Wilhelm Friedrich Hegel;J. Sibree,Philosophy,480.0
676,Candide,Voltaire,Fiction,129.0
677,The Gift of the Magi and Other Short Stories,O. Henry,Fiction,96.0
678,The Canterville Ghost and Other Stories,Oscar Wilde,Fiction,120.0
679,The House of Mirth,Edith Wharton,Fiction,348.0
680,The Pilgrim's Progress,John Bunyan,Fiction,324.0
681,Babbitt,Sinclair Lewis,Fiction,320.0
682,The Worm Ouroboros,E. R. Eddison;Keith Henderson,Fiction,446.0
683,Quicksand,Nella Larsen,Fiction,125.0
684,Call of the Moon,Ronda Thompson,Fiction,352.0
685,The Aviators,W. E. B. Griffin,Fiction,464.0
686,The Valentine Legacy,Catherine Coulter,Fiction,406.0
687,Cold Blood,Lynda La Plante,Fiction,462.0
688,Flying Finish,Dick Francis,Fiction,276.0
689,Bite,Charlaine Harris;MaryJanice Davidson;Angela Knight;Vickie Taylor,Fiction,297.0
690,Complete Poems,Edgar Allan Poe,Poetry,128.0
691,The Crossing,Cormac McCarthy,"Mystery,Mystery,Crime,Thriller,Cultural,Australia,Fiction",425.0
692,The Secret Garden,Martha Hailey Dubose;Frances Hodgson Burnett;Martha Hailey,Juvenile Fiction,160.0
693,Three complete novels,Stephen King,Fiction,1096.0
694,Evolution and the Theory of Games,John Maynard Smith,Science,234.0
695,The Winter's Tale,William Shakespeare;Susan Snyder;Deborah T. Curren-Aquino,Drama,279.0
696,Reading Greek Tragedy,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,Drama,302.0
697,The Illustrated Man,Ray Bradbury,"Science fiction, American",186.0
698,Strata,Terry Pratchett,English fiction,285.0
699,Moving Pictures,Terry Pratchett,Discworld (Imaginary place),396.0
700,Vox,Paul Stewart;Chris Riddell,Children's stories,400.0
701,Past Mortem,Ben Elton,Fiction,464.0
702,The Hotel New Hampshire,John Irving,Fiction,520.0
703,Sure of You,Armistead Maupin,City and town life,284.0
704,Dead Famous,Ben Elton,Fiction,382.0
705,All Fall Down,John Saul,Fiction,329.0
706,The Complete Short Stories of Mark Twain,Mark Twain,Fiction,848.0
707,The Broken Gun,Louis L'Amour,Fiction,192.0
708,Magician,Raymond E. Feist,Fiction,499.0
709,The Road to Gandolfo,Robert Ludlum,Fiction,320.0
710,The Delta Star,Joseph Wambaugh,Fiction,291.0
711,Starting Over,Francine Pascal,Juvenile Fiction,153.0
712,Double Love,Francine Pascal;Kate William,Juvenile Fiction,182.0
713,Secrets,Francine Pascal;Kate William,Juvenile Fiction,118.0
714,The Angry Hills,Leon Uris,Fiction,245.0
715,22 Indigo Place,Sandra Brown,Fiction,200.0
716,Snow Crash,Neal Stephenson,Fiction,438.0
717,Odd Thomas,Dean Ray Koontz,FICTION,446.0
718,True Blue,Daniel Topolski;Patrick Robinson,London (England),320.0
719,Last Wish,Francine Pascal;Kate William,Sweet Valley (Imaginary place),231.0
720,The Hollow Man,Dan Simmons,Fiction,342.0
721,A Kiss Before Dying,Ira Levin,Fiction,242.0
722,Adam's Fall,Sandra Brown,Fiction,208.0
723,Heaven's Price,Sandra Brown,Fiction,240.0
724,The Third Victim,Lisa Gardner,Fiction,384.0
725,Iron Fist,Aaron Allston,Fiction,320.0
726,A Kiss to Remember,Teresa Medeiros,Fiction,353.0
727,Haunted,Kelley Armstrong,Fiction,495.0
728,Forever Odd,Dean Ray Koontz,Fiction,364.0
729,Public Secrets,Nora Roberts,Fiction,481.0
730,Lines and Shadows,Joseph Wambaugh,True Crime,416.0
731,The Universe in a Nutshell,Stephen W. Hawking;STEPHEN W AUTOR HAWKING,Science,216.0
732,"I, Robot",Harlan Ellison;Isaac Asimov,Fiction,288.0
733,The Surgeon,Tess Gerritsen,Boston (Mass.),416.0
734,Light,M. John Harrison,Fiction,264.0
735,The Real Thing,Tom Stoppard,Drama,112.0
736,Immortality,Milan Kundera,Czech fiction,400.0
737,The Complete Herbal Handbook for the Dog and Cat,Juliette de Baïracli Levy,Pets,368.0
738,Tales from Ovid,Ovid;Ted Hughes,Latin poetry,264.0
739,Famous Last Words,Timothy Findley,Prisoners of war,416.0
740,Finders Keepers,Seamus Heaney,Englisch - Geschichte - Lyrik - Aufsatzsammlung,432.0
741,Finnegans Wake,James Joyce,Dreams,628.0
742,Breakfast of Champions,Kurt Vonnegut,Science fiction,106.0
743,Eric,Terry Pratchett,Fantasy fiction,126.0
744,Soul Music,Terry Pratchett,Discworld (Imaginary place),424.0
745,The Last Hero,Terry Pratchett,Discworld (Imaginary place),160.0
746,Dark Lord of Derkholm,Diana Wynne Jones,Fantasy fiction,328.0
747,Grendel,John Gardner,Beowulf,144.0
748,The Body,Stephen King;Robin Waterfield,Friendship in adolescence,80.0
749,The Master of Whitestorm,Janny Wurts,Fantasy fiction,413.0
750,The witches,Roald Dahl,Juvenile Nonfiction,208.0
751,The Trolley Car Family,Eleanor Clymer,Family life,256.0
752,Radio Fifth Grade,Gordon Korman,Juvenile Fiction,192.0
753,Avalanche,Arthur Roth,Adult education,144.0
754,The Stranger,Caroline B. Cooney,Horror stories.,198.0
755,On the Banks of Plum Creek,Laura Ingalls Wilder,Family,339.0
756,BSD Hacks,Dru Lavigne,Computers,450.0
757,MySQL Cookbook,Paul DuBois,Computers,980.0
758,CSS Cookbook,Christopher Schmitt,Computers,516.0
759,Full House,Stephen Jay Gould,Science,256.0
760,The Princess Diaries,Meg Cabot,Juvenile Fiction,283.0
761,The Two Towers,John Ronald Reuel Tolkien,Fiction,413.0
762,Baumgartner's Bombay,Anita Desai,Fiction,240.0
763,The 42nd Parallel,John Dos Passos,Fiction,326.0
764,Clear Light of Day,Anita Desai,Fiction,183.0
765,The Heart is a Lonely Hunter,Carson McCullers,Fiction,359.0
766,Silent Spring,Rachel Carson,Nature,378.0
767,The Chosen,Jerome Karabel,Education,736.0
768,On Certainty,Ludwig Wittgenstein,Philosophy,114.0
769,The Roald Dahl Treasury,Roald Dahl,Juvenile Fiction,448.0
770,Spycatcher,Peter Wright,Espionage,392.0
771,Private Parts,Howard Stern;John D. Simons,Biography & Autobiography,660.0
772,My Gal Sunday,Mary Higgins Clark,Fiction,206.0
773,The Tenth Man,Graham Greene,Fiction,160.0
774,How to Stop Worrying and Start Living,Dale Carnegie,Psychology,358.0
775,Carrie,Stephen King,Fiction,253.0
776,The Girl Who Loved Tom Gordon,Stephen King,Fiction,264.0
777,Sharp Edges,Jayne Ann Krentz,Fiction,368.0
778,Harvest,Tess Gerritsen,Fiction,368.0
779,Wind Child,Nancy Harding,Fiction,331.0
780,Cyclops,Clive Cussler,Fiction,473.0
781,The Color Purple,Alice Walker,Fiction,295.0
782,Tales of Power,Carlos Castaneda,Fiction,304.0
783,Swan Song,Robert McCammon,Fiction,956.0
784,Mystery Walk,Robert R. McCammon,Fiction,432.0
785,The Hidden Persuaders,Vance Packard,Advertising,242.0
786,In the Name of Love,Ann Rule,Literary Criticism,414.0
787,The Good Earth,Pearl S. Buck,Fiction,357.0
788,Forever After,Roger Zelazny,Fiction,291.0
789,Ethics and the Limits of Philosophy,Bernard Williams,Philosophy,230.0
790,The Art of Shakespeare's Sonnets,Helen Vendler,Literary Criticism,692.0
791,Wittgenstein on Rules and Private Language,Saul A. Kripke,Philosophy,160.0
792,De officiis,Marcus Tullius Cicero;Walter Miller,Fiction,448.0
793,Metamorphoses,Publius Ovidius Naso (Dichter),"Mythology, Classical",496.0
794,Gift from the Sea,,Biography & Autobiography,132.0
795,Crime and Punishment,Fyodor Dostoyevsky,Fiction,564.0
796,Selected Short Stories of William Faulkner,William Faulkner,Fiction,320.0
797,Swann's Way,Marcel Proust;Elizabeth Dalton,Fiction,466.0
798,The Sound and the Fury,William Faulkner,Fiction,368.0
799,The Red and the Black,Stendhal,Fiction,560.0
800,Darkness Visible,William Styron,Biography & Autobiography,96.0
801,The Fall,Albert Camus,Fiction,147.0
802,Hiroshima,John Hersey,History,152.0
803,Gideon's Trumpet,Anthony Lewis,History,288.0
804,Invisible Man,Ralph Ellison,African American men,581.0
805,Cathedral,Raymond Carver,Fiction,230.0
806,Strong Opinions,Vladimir Vladimirovich Nabokov,Literary Collections,368.0
807,Mary,Владимир Владимирович Набоков,Fiction,114.0
808,The Defense,Vladimir Vladimirovich Nabokov;Michael Scammell,Fiction,256.0
809,The Eye,Владимир Владимирович Набоков,Fiction,104.0
810,Chilly Scenes of Winter,Ann Beattie,Fiction,288.0
811,The Rebel,Albert Camus,Philosophy,320.0
812,Hype and Glory,William Goldman,Performing Arts,306.0
813,Dispatches,Michael Herr,History,260.0
814,Athena,John Banville,Fiction,240.0
815,The Radicalism of the American Revolution,Gordon S. Wood,History,447.0
816,Mortals,Norman Rush,Fiction,736.0
817,The grass harp,Truman Capote,Fiction,272.0
818,Sanctuary,William Faulkner,Fiction,317.0
819,The Death of Virgil,Hermann Broch,Fiction,496.0
820,The Son Avenger,Sigrid Undset,Fiction,288.0
821,Snow Country,Yasunari Kawabata,Fiction,175.0
822,Thousand Cranes,川端康成,Fiction,147.0
823,The Camera My Mother Gave Me,Susanna Kaysen,Biography & Autobiography,149.0
824,Letting Go,Philip Roth,Fiction,630.0
825,Selected Stories,Andre Dubus,Fiction,476.0
826,In the Hand of the Goddess,Tamora Pierce,Juvenile Fiction,209.0
827,The Berenstain Bears and the Blame Game,Stan Berenstain;Jan Berenstain,Juvenile Fiction,32.0
828,Leaves of Grass,Walt Whitman,American poetry,155.0
829,The Garden of Eden,Ernest Hemingway,Fiction,248.0
830,John Adams,David McCullough,Biography & Autobiography,751.0
831,The Promise of Rest,Reynolds Price,Fiction,368.0
832,Good as Gold,Joseph Heller,Fiction,445.0
833,Tolkien,Joseph Pearce,Biography & Autobiography,256.0
834,God Knows,Joseph Heller,Fiction,368.0
835,On Death and Dying,Elisabeth Kübler-Ross,Family & Relationships,288.0
836,Across the River and Into the Trees,Ernest Hemingway,Fiction,272.0
837,The Children's Book of America,William J. Bennett;Michael Hague,Fiction,112.0
838,The Secret Diary of Anne Boleyn,Robin Maxwell,Fiction,281.0
839,The Last Temptation of Christ,Nikos Kazantzakis,Fiction,506.0
840,Shadow,Bob Woodward,History,608.0
841,Merde!,Genevieve,Foreign Language Study,112.0
842,To Have and Have Not,Ernest Hemingway,Fiction,176.0
843,Picture This,Joseph Heller,Fiction,352.0
844,The Merlin Trilogy,Mary Stewart,Fiction,928.0
845,The Twelve Dancing Princesses,Marianna Mayer,Juvenile Fiction,40.0
846,Love Poems,Nikki Giovanni,Poetry,96.0
847,Naked Pictures of Famous People,Jon Stewart,Humor,164.0
848,The Bears on Hemlock Mountain,Alice Dalgliesh,Juvenile Fiction,64.0
849,The Fourth of July Story,Alice Dalgliesh,Juvenile Nonfiction,32.0
850,A Child's Garden of Verses,Robert Louis Stevenson,Juvenile Fiction,67.0
851,Poppy,Avi,Children's stories,163.0
852,The Storm,Cynthia Rylant,Juvenile Fiction,80.0
853,The Octopus,Cynthia Rylant;Preston McDaniels,Juvenile Fiction,64.0
854,Star Bright,Cathy Hapka,Juvenile Nonfiction,160.0
855,Shamanism,Mircea Eliade,"Body, Mind & Spirit",610.0
856,Sisters,Charles Higham,Biography & Autobiography,257.0
857,The Egg and I,Betty MacDonald,Farm life,288.0
858,America,Jon Stewart;Ben Karlin;David Javerbaum,Democracy,228.0
859,Banker,Dick Francis,Fiction,288.0
860,Maisie Dobbs,Jacqueline Winspear,Detective and mystery stories,292.0
861,Birds of a Feather,Jacqueline Winspear,Children of the rich,307.0
862,Mutant Message from Forever,Marlo Morgan,Aboriginal Australians,323.0
863,The Tale of Jemima Puddle-Duck,Beatrix Potter,Juvenile Nonfiction,57.0
864,Exit to Eden,Anne Rampling;Anne Rice,Photographers,336.0
865,Loving God with All Your Mind,Elizabeth George,Religion,276.0
866,All the Pretty Horses,Cormac McCarthy,Americans,302.0
867,The Complete Calvin and Hobbes,Bill Watterson,Comics & Graphic Novels,1456.0
868,The Other Boleyn Girl,Philippa Gregory,Fiction,661.0
869,Man and Wife,Tony Parsons,Fiction,352.0
870,A Separate Peace,John Knowles,Fiction,208.0
871,Plan of Attack,Bob Woodward,Political Science,480.0
872,Benjamin Franklin,Walter Isaacson,Biography & Autobiography,586.0
873,The Boleyn Inheritance,Philippa Gregory,Fiction,518.0
874,How to Win Friends and Influence People for Teen Girls,Donna Dale Carnegie,Self-Help,208.0
875,Diary of a Mistress,Miasha,Fiction,182.0
876,"Look Homeward, Angel",Thomas Wolfe,Fiction,644.0
877,The Inhuman Condition,Clive Barker,Fiction,180.0
878,Music & Silence,Rose Tremain,Fiction,512.0
879,Salem Falls,Jodi Picoult,Fiction,434.0
880,Black Cat,V. C. Andrews,Fiction,375.0
881,Last Man Standing,David Baldacci,English fiction,548.0
882,March Upcountry,David Weber;John Ringo,Fiction,608.0
883,Roughing It,Mark Twain,Fiction,560.0
884,Shock Wave,Clive Cussler,Adventure stories,537.0
885,Band of Brothers,Stephen E. Ambrose,History,432.0
886,Pendulum,Amir D. Aczel,Biography & Autobiography,288.0
887,The Price of Pleasure,Kresley Cole,Fiction,353.0
888,Homecoming,Christie Golden,Fiction,262.0
889,Paradise,Judith McNaught,Fiction,709.0
890,Romeo and Juliet,William Shakespeare;Barbara A. Mowat;Paul Werstine,Drama,281.0
891,Othello,William Shakespeare,Drama,314.0
892,The Count of Monte Cristo,Alexandre Dumas;Margaret Brantley,Fiction,620.0
893,My Antonia,Willa Cather;Alyssa Harad,Fiction,314.0
894,The Notebooks of Lazarus Long,Robert A. Heinlein,Fiction,56.0
895,Twisted,Jeffery Deaver,Fiction,480.0
896,No Place Like Home,Mary Higgins Clark,Abused wives,472.0
897,Tinker,Wen Spencer,Fiction,448.0
898,Sir Gawain and the Green Knight,Selina Hastings,Arthurian romances,29.0
899,Sociology,Anthony Giddens;Simon Griffiths,Social Science,1000.0
