book,title,author,genre,num_pages
97,Tales of the City,Armistead Maupin,City and town life,272.0
98,The Hidden Hand,Carroll John Daly,Fiction,272.0
99,Three Farmers on Their Way to a Dance,Richard Powers,Fiction,352.0
100,Fiskadoro,Denis Johnson,Fiction,221.0
101,Operation Wandering Soul,Richard Powers,Fiction,352.0
102,Reasons to Live,Amy Hempel,Fiction,129.0
103,Girlfriend in a Coma,Douglas Coupland,Fiction,288.0
104,Life Is Elsewhere,Milan Kundera;Aaron Asher,Fiction,432.0
105,Dirt,Stuart Woods,Fiction,448.0
106,Their Eyes Were Watching God,Zora Neale Hurston,Fiction,219.0
107,A Tree Grows in Brooklyn,Betty Smith,Fiction,496.0
108,Daughter of Fortune,Isabel Allende,Fiction,432.0
109,The Alchemist,Paulo Coelho,Fiction,197.0
110,The Art of Loving,Erich Fromm,Self-Help,192.0
111,The Crusader,Paul Kengor,Political Science,432.0
112,Coraline,Neil Gaiman,Fiction,162.0
113,Stardust,Neil Gaiman,Fiction,248.0
114,The Gabriel Hounds,Mary Stewart,Fiction,322.0
115,Women,Charles Bukowski,Fiction,291.0
116,The Valkyries,Paulo Coelho,Angels,243.0
117,Betsy-Tacy,Maud Hart Lovelace,Juvenile Fiction,144.0
118,Racso and the Rats of NIMH,Jane Leslie Conly,Juvenile Fiction,288.0
119,Monster,Walter Dean Myers,Juvenile Fiction,281.0
120,Emily of Deep Valley,Maud Hart Lovelace,Juvenile Fiction,304.0
121,Howl's Moving Castle,Diana Wynne Jones,Juvenile Fiction,329.0
122,Christmas Stories,Laura Ingalls Wilder,Juvenile Fiction,80.0
123,Mission Possible,Ken Blanchard;Terry Waghorn,Business & Economics,242.0
124,A Star Called Henry,Roddy Doyle,Dublin (Ireland),342.0
125,The Confessions of Nat Turner,William Styron,Slave insurrections,480.0
126,Hannibal,Leonard Cottrell,History,248.0
127,Fury,Salman Rushdie,Anger,272.0
128,The Trial,Franz Kafka,Fiction,255.0
129,In Watermelon Sugar,Richard Brautigan,Social action,144.0
130,Human Traces,Sebastian Faulks,Europe,793.0
131,Blood Canticle,Anne Rice,Horror tales,400.0
132,Underground,Haruki Murakami,Cults,309.0
133,The Convenient Marriage,Georgette Heyer,Fiction,272.0
134,A Very Long Engagement,Sébastien Japrisot,Feature films [DVD],320.0
135,False Colours,Georgette Heyer,Brothers,303.0
136,Sprig Muslin,Georgette Heyer,England,268.0
137,The Quiet American,Graham Greene,Americans,180.0
138,The Heart of the Matter,Graham Greene,Fiction,272.0
139,Enduring Love,Ian McEwan,Accidents,245.0
140,For Whom the Bell Tolls,Ernest Hemingway,Americans,490.0
141,Dublin 4,Maeve Binchy,Domestic fiction,256.0
142,Circle of Friends,Maeve Binchy,College attendance,722.0
143,Airframe,Michael Crichton,Adventure stories,431.0
144,Midnight's Children,Salman Rushdie,Children of the rich,647.0
145,"Cry, the Beloved Country",Alan Paton,Fiction,316.0
146,Deception,Philip Roth,Adultery,208.0
147,A Farewell to Arms,Ernest Hemingway,War,293.0
148,Cross Stitch,Diana Gabaldon,Historical fiction,864.0
149,Social Psychology,Elliot Aronson;Timothy D. Wilson;Robin M. Akert,Psychology,633.0
150,Big Money,Pelham G. Wodehouse,Fiction,288.0
151,Switch Bitch,Roald Dahl,Fiction,140.0
152,The Pearl,John Steinbeck,Fiction,181.0
153,The New York Trilogy,Paul Auster,Fiction,203.0
154,The Pigeon,Patrick Süskind,Pigeons,77.0
